	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
276	Sat Jun 30 03:31:05 +0000 2018	@CNN	"""The Dancing Doctor"" has agreed to give up her medical license for at least two-and-a-half years, records show… https://t.co/yUoI16dN57"	0.2732	0.104	0.896	0.0	277
494	Sat Jun 30 03:32:05 +0000 2018	@nytimes	President Trump said that he plans to announce his pick to replace Justice Anthony Kennedy on July 9 https://t.co/CCQHIk8SPH	0.5267	0.167	0.833	0.0	495
275	Sat Jun 30 03:32:51 +0000 2018	@CNN	RT @CuomoPrimeTime: Trump Supreme Court adviser Leonard Leo tells @ChrisCuomo that the President has never once asked a single potential co…	0.5574	0.159	0.841	0.0	276
493	Sat Jun 30 03:35:17 +0000 2018	@nytimes	Migration Deal in Europe Makes No Commitments. Victory Is Declared. https://t.co/tymB1yEp8X	-0.1779	0.118	0.709	0.173	494
274	Sat Jun 30 03:46:05 +0000 2018	@CNN	Maryland could have the largest all-male delegation in Congress next year https://t.co/MAskMowi7a https://t.co/8K83v1101u	0.0	0.0	1.0	0.0	275
492	Sat Jun 30 03:47:05 +0000 2018	@nytimes	RT @wardnyt: Come fly with us through two of the best goals from @FIFAWorldCup https://t.co/8ycFb2f0O0 https://t.co/g0UlxYFzWZ	0.6369	0.219	0.781	0.0	493
491	Sat Jun 30 04:02:06 +0000 2018	@nytimes	A long and bitter overnight debate over E.U. migration policies seems to have saved Angela Merkel and boosted the p… https://t.co/Z7OHGrK2Ly	0.3612	0.211	0.677	0.112	492
273	Sat Jun 30 04:16:00 +0000 2018	@CNN	"Toys ""R"" Us closes its final 200 US stores for good https://t.co/5yO1QoJ1Xd https://t.co/FMpEw8WyCM"	0.4404	0.195	0.805	0.0	274
490	Sat Jun 30 04:21:04 +0000 2018	@nytimes	RT @nytopinion: Martin Luther King Jr. actually aimed some of his harshest words toward advocates of civility, whose concerns aligned with…	-0.5994	0.0	0.837	0.163	491
272	Sat Jun 30 04:31:00 +0000 2018	@CNN	Spider-Man, Captain America, and other superheroes dropped by a children's hospital in Iowa to give the kids a thri… https://t.co/wcpF5jeBL2	0.0	0.0	1.0	0.0	273
489	Sat Jun 30 04:38:45 +0000 2018	@nytimes	A new vaccine appears to have helped bring an Ebola outbreak to a rapid close https://t.co/KFNJm6vP21	0.0	0.0	1.0	0.0	490
271	Sat Jun 30 04:46:08 +0000 2018	@CNN	Police used facial recognition to identify the Capital Gazette shooter. Here's how it works https://t.co/ymukXJEVrs https://t.co/8CdoJjzYfZ	0.0	0.0	1.0	0.0	272
488	Sat Jun 30 04:55:49 +0000 2018	@nytimes	He was known across the internet as “Pompeii’s Unluckiest Man.” But after finding his intact skull archaeologists a… https://t.co/sQnevK6oRu	0.2023	0.091	0.909	0.0	489
270	Sat Jun 30 05:01:00 +0000 2018	@CNN	The FDR Library and Museum released rare video of Franklin D. Roosevelt walking https://t.co/xUMKmgNJgW https://t.co/9uWnaPoYXf	0.0	0.0	1.0	0.0	271
487	Sat Jun 30 05:13:19 +0000 2018	@nytimes	“I thought I’d never see them again.” Watch the reunion of a Guatemalan mother and her children, separated at the b… https://t.co/51ty4XagGV	0.0	0.0	1.0	0.0	488
269	Sat Jun 30 05:16:08 +0000 2018	@CNN	Air pollution levels well below what is considered safe by the US EPA and the World Health Organization are causing… https://t.co/zQasN8CABP	0.6124	0.208	0.792	0.0	270
268	Sat Jun 30 05:31:00 +0000 2018	@CNN	Amazon has launched a new program that allows you to start your own small business delivering Prime packages — the… https://t.co/N0isk4cecD	0.296	0.158	0.842	0.0	269
486	Sat Jun 30 05:32:06 +0000 2018	@nytimes	RT @HernandezJavier: I got a peek inside China’s efforts to inspire a new generation of Communists. Here’s my dispatch from a Beijing class…	0.5719	0.171	0.829	0.0	487
267	Sat Jun 30 05:46:07 +0000 2018	@CNN	"These 600 Hawaiian cats have a better life than you.

Welcome to the Lana'i Cat Sanctuary -- Where felines of all s… https://t.co/NAtUoCZOzI"	0.7096	0.228	0.772	0.0	268
485	Sat Jun 30 05:50:53 +0000 2018	@nytimes	.@margalitfox has been a New York Times obituary writer for 14 years. Now she's taking a crack at her own epitaph. https://t.co/RwoVfCjTTE	0.0	0.0	1.0	0.0	486
266	Sat Jun 30 06:01:00 +0000 2018	@CNN	"Arnold Schwarzenegger mocks Trump's attempts to ""rescue the coal industry,"" asking in a video message what the Pres… https://t.co/H1CACG9Zlz"	0.0772	0.148	0.717	0.135	267
484	Sat Jun 30 06:08:05 +0000 2018	@nytimes	What the public knew about Emma Gatewood was already remarkable. But what they didn't know is even more remarkable. https://t.co/rV98mMauYg	0.802	0.286	0.714	0.0	485
265	Sat Jun 30 06:15:12 +0000 2018	@CNN	1 in 3 African American men are incarcerated in the US. #AmericanJail, a new CNN Film, premieres Sunday. https://t.co/otw68e0Wv3	0.0	0.0	1.0	0.0	266
483	Sat Jun 30 06:25:26 +0000 2018	@nytimes	Once an idea hovering on the far-left fringe, the call to abolish ICE has gained traction among progressive candida… https://t.co/nUcWGmg15C	0.3818	0.12	0.88	0.0	484
264	Sat Jun 30 06:31:00 +0000 2018	@CNN	In a retail industry beset by problems, H&amp;M has a stockpile of unsold clothes worth $4 billion… https://t.co/Sqzo0PF39o	-0.2023	0.102	0.753	0.145	265
482	Sat Jun 30 06:42:50 +0000 2018	@nytimes	As Oumuamua passed through our solar system, something other than gravity was pushing the object away from the sun https://t.co/syT7l918Ax	0.0	0.0	1.0	0.0	483
263	Sat Jun 30 06:46:05 +0000 2018	@CNN	I'm marching to make America the country my parents dreamed of | By Karine Jean-Pierre via @CNNOpinion… https://t.co/a4cmgxTebQ	0.0	0.0	1.0	0.0	264
481	Sat Jun 30 06:59:47 +0000 2018	@nytimes	The internet has turned on him, his book sales are down and the TV adaptation of his last novel has stalled. But Jo… https://t.co/cajngCkSuk	0.128	0.088	0.843	0.069	482
262	Sat Jun 30 07:01:01 +0000 2018	@CNN	Does a plateau exist for human mortality? New research suggests that any maximum fixed lifespan has yet to be reach… https://t.co/uibviDUedO	0.0	0.0	1.0	0.0	263
16	Sat Jun 30 07:02:00 +0000 2018	@BBC	"A heartbreaking look at how our discarded plastics are killing wildlife.
#PlasticsAction https://t.co/R3lZNSDtMa"	-0.8689	0.0	0.479	0.521	17
36	Sat Jun 30 07:02:00 +0000 2018	@BBC	"A heartbreaking look at how our discarded plastics are killing wildlife.
#PlasticsAction https://t.co/R3lZNSDtMa"	-0.8689	0.0	0.479	0.521	37
480	Sat Jun 30 07:12:01 +0000 2018	@nytimes	How to Clean Those Pesky Summer Stains https://t.co/b5olMgDBG8	0.128	0.248	0.55	0.202	481
261	Sat Jun 30 07:16:05 +0000 2018	@CNN	Two dads, an egg donor and a surrogate: How a freezer failure changed everything https://t.co/oHhWNWxmwz https://t.co/ZfvIGWR3fb	-0.5106	0.0	0.798	0.202	262
479	Sat Jun 30 07:29:06 +0000 2018	@nytimes	RT @nytimestravel: Our 52 Places Traveler, @jadabird, heads to her 19th stop, Baltimore, and finds a celebration of African-American cultur…	-0.296	0.0	0.891	0.109	480
260	Sat Jun 30 07:31:00 +0000 2018	@CNN	Aston Martin brings back the Superleggera as a powerful new $300,000 supercar https://t.co/9nesdQE6WF https://t.co/4j7xU4s5Dg	0.4215	0.189	0.811	0.0	261
399	Sat Jun 30 07:42:00 +0000 2018	@FoxNews	".@POTUS: ""6 months ago we unleashed an economic miracle by signing the biggest tax cuts and reforms... in American… https://t.co/ven29tk761"	0.3818	0.158	0.75	0.092	400
398	Sat Jun 30 07:45:00 +0000 2018	@FoxNews	.@SenateMajLdr gushed over his wife, Secretary of @USDOT @SecElaineChao , standing up to protesters who tried to co… https://t.co/qek0PKcVgW	-0.2263	0.0	0.899	0.101	399
259	Sat Jun 30 07:46:04 +0000 2018	@CNN	While obesity, lack of exercise and genetic risk are major drivers for diabetes, studies have shown a link between… https://t.co/2OCqMEG9Nb	-0.5267	0.0	0.794	0.206	260
478	Sat Jun 30 07:46:52 +0000 2018	@nytimes	A guide to the World Cup, for those that know nothing about the World Cup https://t.co/GMxSkIQBVm	0.0	0.0	1.0	0.0	479
397	Sat Jun 30 08:00:00 +0000 2018	@FoxNews	.@charliekirk11: Left's Growing Socialist Movement Is More About Hating the Rich Than Helping the Poor… https://t.co/eljMYNercF	0.4445	0.325	0.52	0.155	398
258	Sat Jun 30 08:01:05 +0000 2018	@CNN	Here are the best places to watch fireworks on July 4 https://t.co/obBPC6Gnss https://t.co/WrG4r83sHP	0.6369	0.276	0.724	0.0	259
396	Sat Jun 30 08:04:00 +0000 2018	@FoxNews	"""It takes a lot of strength to be an Air Force family, a military family, period.""

On #OutnumberedOT, @usairforce… https://t.co/aD447JYsFx"	0.4939	0.158	0.842	0.0	397
35	Sat Jun 30 08:04:06 +0000 2018	@BBC	🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy	0.0	0.0	1.0	0.0	36
15	Sat Jun 30 08:04:06 +0000 2018	@BBC	🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy	0.0	0.0	1.0	0.0	16
477	Sat Jun 30 08:04:38 +0000 2018	@nytimes	This item is the most frequently found type of trash littering our beaches. Can you guess what it is? https://t.co/wNhe6Ee3bd	0.0	0.0	1.0	0.0	478
395	Sat Jun 30 08:19:00 +0000 2018	@FoxNews	".@CoryBooker: ""We now must fight for those of us who believe that love is love is love is love."" https://t.co/RFSPQ6Dbp9"	0.9001	0.404	0.513	0.083	396
14	Sat Jun 30 08:19:13 +0000 2018	@BBC	"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…"	0.0	0.0	1.0	0.0	15
34	Sat Jun 30 08:19:13 +0000 2018	@BBC	"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…"	0.0	0.0	1.0	0.0	35
257	Sat Jun 30 08:31:00 +0000 2018	@CNN	Meet Miquela: The CGI Instagram star making brands real money — even though she's not a real human… https://t.co/MsPR10QYDU	0.0	0.0	1.0	0.0	258
394	Sat Jun 30 08:32:00 +0000 2018	@FoxNews	".@GeraldoRivera: ""Most sensible Americans - and I believe the polls bear this out - do not want open borders. You c… https://t.co/wBZEv6WiRl"	-0.0572	0.0	0.936	0.064	395
476	Sat Jun 30 08:32:04 +0000 2018	@nytimes	Leaked messages show that Russians offered at least three investment deals to Arron Banks, the biggest donor to the… https://t.co/b4JTHYCldl	-0.3182	0.0	0.892	0.108	477
393	Sat Jun 30 08:38:01 +0000 2018	@FoxNews	In a recent interview, 2016 Democrat presidential nominee @HillaryClinton made clear she is not going to “call it a… https://t.co/OAvMvmmpKt	0.3818	0.126	0.874	0.0	394
392	Sat Jun 30 08:46:00 +0000 2018	@FoxNews	".@KellyannePolls: ""As far as I know, Gen. Kelly wants to stay and he is staying; he hasn't said anything differentl… https://t.co/vsfRB22m9d"	0.0	0.0	1.0	0.0	393
475	Sat Jun 30 08:49:14 +0000 2018	@nytimes	Generation Grandparent: The Joy of Grandparenting https://t.co/76KQrxadpu	0.5859	0.388	0.612	0.0	476
391	Sat Jun 30 09:00:00 +0000 2018	@FoxNews	OPINION: Washington state florist: My life has been turned upside down because of my religious beliefs https://t.co/b0CH1nbpfG	0.0	0.0	1.0	0.0	392
256	Sat Jun 30 09:01:04 +0000 2018	@CNN	"Former President Barack Obama tells Democrats: ""This is a moment of great urgency and you are right to be concerned… https://t.co/KCIs51PQ9X"	0.6249	0.177	0.823	0.0	257
13	Sat Jun 30 09:05:03 +0000 2018	@BBC	🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj	0.0	0.0	1.0	0.0	14
33	Sat Jun 30 09:05:03 +0000 2018	@BBC	🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj	0.0	0.0	1.0	0.0	34
474	Sat Jun 30 09:07:12 +0000 2018	@nytimes	Chobani, the Greek yogurt maker with progressive workplace policies and a large refugee workforce, has a major new… https://t.co/AQh3BBsSHT	0.0	0.0	1.0	0.0	475
390	Sat Jun 30 09:10:00 +0000 2018	@FoxNews	".@TuckerCarlson: ""What will happen when word gets out that nobody in any country on the globe has anything to fear… https://t.co/tNOzdT3bHK"	0.0	0.0	1.0	0.0	391
473	Sat Jun 30 09:12:24 +0000 2018	@nytimes	Spain’s Migrant Wave Grows, Even as Europe’s Subsides https://t.co/c31idLjmSj	0.0	0.0	1.0	0.0	474
12	Sat Jun 30 09:23:10 +0000 2018	@BBC	"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…"	-0.4404	0.109	0.683	0.208	13
32	Sat Jun 30 09:23:10 +0000 2018	@BBC	"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…"	-0.4404	0.109	0.683	0.208	33
255	Sat Jun 30 09:31:00 +0000 2018	@CNN	In 2012, Luke Mickelson was shocked to learn that children in his community slept on the floor. So he quit his high… https://t.co/MGJq7GAxQs	-0.3182	0.0	0.905	0.095	256
389	Sat Jun 30 09:31:01 +0000 2018	@FoxNews	Reporter resigns after false tweet that Maryland shooting suspect had MAGA hat https://t.co/J2hLMniieo	-0.5423	0.0	0.71	0.29	390
472	Sat Jun 30 09:36:03 +0000 2018	@nytimes	RT @nytmedia: “When your newspaper is covering a community, it’s a much more intimate relationship that you have with readers. And they let…	0.0	0.0	1.0	0.0	473
388	Sat Jun 30 09:40:25 +0000 2018	@FoxNews	Federal judge blocks Kentucky's Medicaid work requirements https://t.co/zcqF4ptaiT	-0.2263	0.0	0.787	0.213	389
387	Sat Jun 30 09:43:38 +0000 2018	@FoxNews	2 men with 29 wives and 160 children between them sentenced to house arrest following polygamy conviction https://t.co/k8rJHBMFaA	-0.3612	0.0	0.811	0.189	388
386	Sat Jun 30 09:50:09 +0000 2018	@FoxNews	Oldest veteran in US, 112, robbed of savings, identity, family says https://t.co/c89oiKfLiE	0.0	0.0	1.0	0.0	387
471	Sat Jun 30 09:52:22 +0000 2018	@nytimes	“We have a Haring!” A Keith Haring mural comes out of hiding in Amsterdam. https://t.co/vo6hspj9TZ	-0.3595	0.0	0.828	0.172	472
254	Sat Jun 30 10:01:07 +0000 2018	@CNN	Boeing's hypersonic passenger plane could get you from New York to London in 2 hours https://t.co/9oADl8bB4n https://t.co/DkPrTGF5XP	0.0	0.0	1.0	0.0	255
31	Sat Jun 30 10:02:04 +0000 2018	@BBC	"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw"	0.1007	0.122	0.878	0.0	32
11	Sat Jun 30 10:02:04 +0000 2018	@BBC	"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw"	0.1007	0.122	0.878	0.0	12
385	Sat Jun 30 10:09:25 +0000 2018	@FoxNews	Texas group honoring military members reportedly robbed of dozens of flags https://t.co/SpiJTaRlwv	0.5106	0.231	0.769	0.0	386
470	Sat Jun 30 10:10:43 +0000 2018	@nytimes	Airline stopover programs can double your destinations--here's how to get the most out of them https://t.co/WjZwnnZ5C5	0.0	0.0	1.0	0.0	471
469	Sat Jun 30 10:12:16 +0000 2018	@nytimes	Frugal Traveler: The Frugal Five https://t.co/RoZRnD8OVN	0.0	0.0	1.0	0.0	470
384	Sat Jun 30 10:15:45 +0000 2018	@FoxNews	Nunes calls for testimony from 17 FBI, DOJ officials on government surveillance abuse https://t.co/dbVa0P4CXg https://t.co/sB5Utdw6k8	-0.6369	0.0	0.769	0.231	385
383	Sat Jun 30 10:20:18 +0000 2018	@FoxNews	Federal judge blocks Kentucky's Medicaid work requirements https://t.co/zcqF4ptaiT https://t.co/7ccOzPU5iv	-0.2263	0.0	0.808	0.192	384
382	Sat Jun 30 10:24:22 +0000 2018	@FoxNews	Ohio boy's lawn care business goes viral after 'ridiculous' neighbor calls cops on him https://t.co/nbmq1vJncS	0.4939	0.186	0.814	0.0	383
468	Sat Jun 30 10:29:02 +0000 2018	@nytimes	Our newsroom doesn’t have a poet laureate. But this guy is pretty close. https://t.co/yjECtusWSW	0.4939	0.211	0.789	0.0	469
253	Sat Jun 30 10:31:00 +0000 2018	@CNN	Egypt is building The Grand Egyptian Museum. The cost? More than $1 billion. It will re-house and restore some of t… https://t.co/G3xypDbMIF	0.6369	0.206	0.794	0.0	254
381	Sat Jun 30 10:32:22 +0000 2018	@FoxNews	Lasonya Hill: “People have to realize that it’s okay to have a difference of opinion.” https://t.co/vRVTshIVgl	0.2263	0.119	0.881	0.0	382
467	Sat Jun 30 10:39:12 +0000 2018	@nytimes	The Week in Good News: A Helpful Teenager, the Belize Barrier Reef, Bird-Watching https://t.co/gUrdsMG8bX	0.6369	0.331	0.581	0.087	468
380	Sat Jun 30 10:39:39 +0000 2018	@FoxNews	Net neutrality backer threatened FCC chief's children, authorities say https://t.co/TEuheEKWYN https://t.co/inVV7UFQTS	-0.4588	0.0	0.769	0.231	381
379	Sat Jun 30 10:49:56 +0000 2018	@FoxNews	Chele Farley: “We need criminals deported.” https://t.co/VvWXiC5HEQ	-0.5719	0.0	0.619	0.381	380
378	Sat Jun 30 10:53:21 +0000 2018	@FoxNews	Chele Farley: “[Kirsten Gillibrand is] not representing the people of New York… I think New Yorkers are going to wa… https://t.co/fPcmUTqSpt	0.0	0.0	1.0	0.0	379
252	Sat Jun 30 11:01:07 +0000 2018	@CNN	These are the stunning winners of the 2018 National Geographic Travel Photographer of the Year… https://t.co/DbCSwLCnMM	0.6908	0.289	0.711	0.0	253
466	Sat Jun 30 11:02:03 +0000 2018	@nytimes	RT @nytpolitics: Larry Kudlow, the White House economic adviser, said the federal budget deficit is “rapidly” decreasing. Three sources of…	-0.4019	0.0	0.876	0.124	467
10	Sat Jun 30 11:05:01 +0000 2018	@BBC	😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH	0.0	0.0	1.0	0.0	11
30	Sat Jun 30 11:05:01 +0000 2018	@BBC	😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH	0.0	0.0	1.0	0.0	31
377	Sat Jun 30 11:07:50 +0000 2018	@FoxNews	Bill Maher, Ben Shapiro spar over civility https://t.co/oXNS7pfkBg	0.0	0.0	1.0	0.0	378
376	Sat Jun 30 11:11:12 +0000 2018	@FoxNews	Texas city to fly 40,000 American flags, one at every home, on 4th of July https://t.co/dw9EIyEBJg	0.0	0.0	1.0	0.0	377
375	Sat Jun 30 11:11:40 +0000 2018	@FoxNews	Special counsel must reply to Manafort's motion for jail release by July 5, federal appeals court says https://t.co/7iVu4aUeVQ	0.4019	0.137	0.863	0.0	376
465	Sat Jun 30 11:14:07 +0000 2018	@nytimes	"Here's the 2018 election calendar 
https://t.co/R4SZfQgqJb"	0.0	0.0	1.0	0.0	466
374	Sat Jun 30 11:15:34 +0000 2018	@FoxNews	"“It's gotten to the point now where it's just-- I'm either going to get out of here, or I'm gonna die this way.”

‘… https://t.co/Z8GcuXlc2M"	-0.5994	0.0	0.86	0.14	375
373	Sat Jun 30 11:20:25 +0000 2018	@FoxNews	Prank caller gets Trump on phone by impersonating Dem senator https://t.co/ZU9m5hrllB	0.0	0.0	1.0	0.0	374
251	Sat Jun 30 11:31:00 +0000 2018	@CNN	Will we ever fly like the Jetsons? After this company unveiled Flyer, its first commercial flying car, @RachCrane t… https://t.co/yM4kZ4odQK	0.3612	0.116	0.884	0.0	252
464	Sat Jun 30 11:31:06 +0000 2018	@nytimes	France faces Argentina in the round of 16 today. Many of the players on the World Cup stage came from this sprawl o… https://t.co/KVFHox0VLU	0.0	0.0	1.0	0.0	465
372	Sat Jun 30 11:32:51 +0000 2018	@FoxNews	‘Unbearable’ smelling passenger that caused plane’s emergency landing dies from tissue necrosis https://t.co/yG8Ny9z0bt	-0.3818	0.0	0.822	0.178	373
371	Sat Jun 30 11:42:07 +0000 2018	@FoxNews	President @realDonaldTrump recognizes Blue Line Bears founder https://t.co/8hVhIKKJTn	0.0	0.0	1.0	0.0	372
463	Sat Jun 30 11:46:03 +0000 2018	@nytimes	Your laptop is probably dirty and gross. It might be time to clean it. https://t.co/FZpPPUfVX1	-0.5106	0.13	0.58	0.29	464
370	Sat Jun 30 11:46:52 +0000 2018	@FoxNews	Lightning dwarfs city lights as a distant thunder storm passes by Dodge City, Kansas https://t.co/jaQmOcvLQM	0.0	0.0	1.0	0.0	371
369	Sat Jun 30 11:48:27 +0000 2018	@FoxNews	Puppy rescued after falling down 50-foot hole https://t.co/XcyMpEL12U	0.296	0.269	0.577	0.154	370
368	Sat Jun 30 11:58:23 +0000 2018	@FoxNews	Dog on Family Road Trip Gets Photo Taken as He Crosses Into Each New State https://t.co/1Ycq1CFS4F	0.0	0.0	1.0	0.0	369
462	Sat Jun 30 12:00:18 +0000 2018	@nytimes	Not sure what to do this weekend in NYC? We’ve got you. https://t.co/20rs7hLzeN	0.3182	0.161	0.839	0.0	463
250	Sat Jun 30 12:01:06 +0000 2018	@CNN	Ballet dancers showcase Hong Kong in gravity-defying images https://t.co/98YW55XneE via @CNNTravel https://t.co/scFdlJGo5d	0.0	0.0	1.0	0.0	251
29	Sat Jun 30 12:07:04 +0000 2018	@BBC	🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2	0.0	0.0	1.0	0.0	30
9	Sat Jun 30 12:07:04 +0000 2018	@BBC	🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2	0.0	0.0	1.0	0.0	10
367	Sat Jun 30 12:07:51 +0000 2018	@FoxNews	OPINION: Rep. Rob Bishop: Trump’s right. It’s time to ditch the filibuster and fix our broken government https://t.co/PjEmCU0PJC	-0.7717	0.0	0.705	0.295	368
28	Sat Jun 30 12:13:40 +0000 2018	@BBC	"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX"	0.8224	0.297	0.703	0.0	29
8	Sat Jun 30 12:13:40 +0000 2018	@BBC	"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX"	0.8224	0.297	0.703	0.0	9
27	Sat Jun 30 12:13:52 +0000 2018	@BBC	RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…	0.5719	0.134	0.866	0.0	28
7	Sat Jun 30 12:13:52 +0000 2018	@BBC	RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…	0.5719	0.134	0.866	0.0	8
366	Sat Jun 30 12:19:12 +0000 2018	@FoxNews	Canada vows to impose tariffs on U.S. goods https://t.co/sq25ZjKAAH	-0.296	0.0	0.784	0.216	367
461	Sat Jun 30 12:19:53 +0000 2018	@nytimes	Argentina vs. France: World Cup 2018 Live Updates https://t.co/kXp8lHlK2i	0.0	0.0	1.0	0.0	462
365	Sat Jun 30 12:20:08 +0000 2018	@FoxNews	.@THEHermanCain: “The Democratic Party has a leadership crisis and a messaging crisis and it’s in part due to Presi… https://t.co/KQbDNLIbx4	-0.7579	0.104	0.579	0.317	366
460	Sat Jun 30 12:22:05 +0000 2018	@nytimes	"In Opinion

Emma Brockes writes: ""A woman ran after me as I left a friend’s party and asked if I thought she should… https://t.co/P2JRh28n5T"	0.4019	0.119	0.881	0.0	461
364	Sat Jun 30 12:26:43 +0000 2018	@FoxNews	.@AlanDersh: “[@POTUS] might even appoint somebody who believes there is a constitutional right to life, which woul… https://t.co/MOzytPnBKr	0.0	0.0	1.0	0.0	365
249	Sat Jun 30 12:31:00 +0000 2018	@CNN	Watch these homes being built using a 3D printer https://t.co/igaBP4BFwG https://t.co/OjOhBRVMRn	0.0	0.0	1.0	0.0	250
363	Sat Jun 30 12:31:36 +0000 2018	@FoxNews	Trump slaps down Democrats' 'abolish ICE' push: 'It will never happen' https://t.co/2QtQOnaMq6	0.0	0.0	1.0	0.0	364
459	Sat Jun 30 12:42:02 +0000 2018	@nytimes	"""It was like a weight had been lifted from my shoulders. I didn’t know how heavy it was until I put it down.""

How… https://t.co/vCUC5qguxf"	0.3612	0.106	0.894	0.0	460
362	Sat Jun 30 12:44:41 +0000 2018	@FoxNews	North Korea believed to be 'deceiving' US, increasing nuclear production: report https://t.co/B3SHrIzbMk	0.0	0.0	1.0	0.0	363
361	Sat Jun 30 12:48:39 +0000 2018	@FoxNews	Elvira Salazar: “Socialist laws only bring misery.” https://t.co/1dsb1Dd6AZ	0.0	0.0	1.0	0.0	362
360	Sat Jun 30 12:56:42 +0000 2018	@FoxNews	"The U.S. Air Force Air Demonstration Squadron ""Thunderbirds"" perform at the Arctic Thunder Open House Special Needs… https://t.co/Effv2sgeg4"	0.4767	0.204	0.796	0.0	361
6	Sat Jun 30 12:58:04 +0000 2018	@BBC	"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92"	0.0	0.0	1.0	0.0	7
26	Sat Jun 30 12:58:04 +0000 2018	@BBC	"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92"	0.0	0.0	1.0	0.0	27
